date_iso,date_display,source,rating,rating_basis,sentiment,vader_compound,themes,title,job_title,location,employment,pros,cons,body,advice
2019-08-23,"Aug 23, 2019",Indeed,1.0,indeed_topics,negative,-0.4141,Management & Leadership; Pay & Benefits; Workload & Burnout,I wouldn’t recommend this company,Director of Housekeeping and Laundry,"Cleveland, OH",,,,Typical day is stressful I learned a lot from company management is not fair the hardest part is underpaid your not recognized for all you do understaffed all the time long work hours,
2021-12-16,"Dec 16, 2021",Indeed,5.0,indeed_topics,positive,0.7708,Management & Leadership; Pay & Benefits; Meaningful / Patient Work; Flexibility & Schedule,Very supportive in a virtual setting. I feel my job is helping people,Associate Marriage & Family Therapy,"San Diego, CA",,Very supportive,Telehealth can be difficult if you don’t have the experience,"Serene has a case management team who verify insurance, sets up the appointments, match your expertise with the client needs, and a billing department so you can do focus on the client and your job.",
2022-04-13,"Apr 13, 2022",Glassdoor,1.0,glassdoor_overall,negative,-0.3885,Management & Leadership; Pay & Benefits,Save yourself from total mental health deterioration,Anonymous employee,,"Former employee, less than 1 year",I was able to leave,"WORST management. WORST people. Shady shady SHADY people and company. All of upper and senior management are scum of the earth people. Tried having employees take a workshop about the ""art of lying to an insurance company"". For a mental health company they do a FANTASTIC job at ruining their employee's. That's about the only thing they're good at. That and not paying people their bonuses. or their pay in general",,
2022-05-23,"May 23, 2022",Glassdoor,3.0,glassdoor_overall,neutral,-0.8269,Management & Leadership; Pay & Benefits; Career Growth & Advancement; Coworkers & Team,Case management is not equal,Lead care-manager,"San Diego, CA","Current employee, less than 1 year",Great coworkers and the work we do is priceless,"No room for growth , bad benefits , bad pay",,
2022-06-15,"Jun 15, 2022",Indeed,1.6,indeed_topics,negative,0.9194,Management & Leadership; Training & Onboarding; Communication & Organization,Unorganized management,Lead Care Manager,"San Diego, CA",,,,This company is extremely unorganized. They have no policies and procedures set in place. Management has no idea what they’re doing. They provide care management services but provide ZERO training or support to staff and only care about making money. They do not care about their staff and much less the people they serve.,
2022-06-26,"Jun 26, 2022",Glassdoor,4.0,glassdoor_overall,positive,0.765,Management & Leadership,review,Lead care manager,"San Diego, CA",Current employee,Everyone says great things about the management,It seems like many people do not work here long term,,
2022-09-30,"Sep 30, 2022",Indeed,,none,negative,-0.3612,Workload & Burnout; Meaningful / Patient Work; Flexibility & Schedule,The only upside is working remotely,Associate Mental Health Professional,,,,,"Remote They will overload your schedule with patients and many patients may not be appropriate for the services provided. High needs patients and very little supervision given. Also, beware of the productivity checks.",
2022-10-11,"Oct 11, 2022",Glassdoor,2.0,glassdoor_overall,negative,0.2263,Management & Leadership; Training & Onboarding,Not for the faint of heart,Anonymous employee,,Current employee,I can’t think of one,1 week vacation time per year The left hand doesn’t know what the right is doing. No formal training,,Create an actual procedure and process for every department in the company. All upper management should be held by the same standards as lower and mid level employees
2022-12-03,"Dec 03, 2022",Indeed,5.0,indeed_topics,positive,0.9501,Pay & Benefits; Training & Onboarding,Productive and work life balance is great,Clinician II,"San Diego, CA",,,,Staff is helpful and documentation is very simple. Notes turn around time is 72 hours which is really great. Compensation is good. Documentation training is good.,
2023-03-13,"Mar 13, 2023",Glassdoor,2.0,glassdoor_overall,negative,0.9966,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Culture & Toxicity; Career Growth & Advancement; Training & Onboarding; Turnover & Retention; Coworkers & Team; Meaningful / Patient Work; Work Conditions & Safety,Not worth deteriorating your mental health for management,Lead care manager,"Cerritos, CA",Former employee,friendships among coworkers; birthday PTO (because who wants to deal with this BS on their birthday),"Where do I even start? It's all about the money and reaching quotas with these people. All lead care managers I've worked with really care for their clients, but middle management especially at the Cerritos location, couldn't care less about these members. Management always seemed too busy or inconvenienced whenever we asked questions. Any concerns shared with our manager/supervisor were deemed as ""complaints"" and us giving ""pushback"". We were often gaslit and manipulated. All our personal achievements were used as success stories by middle management to make them look good. Training is a joke--training consists of sitting in webinars; you don't really learn anything useful. There are very few resources to provide to members in need. It's a requirement to meet members in person every so often (which was fine), but our office is primarily women (except for the supervisor), so the thought of commuting to meet a stranger in person, alone, with no real safety procedures and training set in stone was a major concern when it was first implemented and even is now. When most of us met some of these members and were faced with uncomfortable experiences and inappropriate behavior with a few bad seeds, these concerns were voiced to the manager, but we were gaslit and told ""oh this doesn't happen often"". Thanks for the support. I was told I'd be getting a raise during my first quarterly review. I never saw that come to fruition (been there a year or so). I received a smaller holiday bonus than those whose work quality was way below the standard. I worked hard in this company because I cared for my members, but my successes and achievements didn't amount to anything than to be used as success stories to make the boss man look good (but my documentation template, which I was praised for, was shared with everyone in the office because it was so great -- still no raise though). Turn over rate is ridiculous. They don't promote from within (at least not at Cerritos), they'd rather hire incapable outsiders for managerial roles rather than provide current employees with better opportunities",,"You need better training, better benefits for the BS you put your employees through, and Jesus. Seriously"
2023-03-20,"Mar 20, 2023",Indeed,,none,positive,0.9893,Management & Leadership; Meaningful / Patient Work,Great management Behavioral health patient coordinator,,"San Diego, CA",,,,"I worked here as a behavioral health patient coordinator for about a year and a half. The work itself was fulfilling but what made my time here great was working with people who truly cared about the mission of helping people get mental health services, particularly talk therapy. The specific department I worked for was managed really well, which made it easy to wake up every day knowing that the department/supervisor had each employee's best interest at heart.",
2023-04-16,"Apr 16, 2023",Indeed,,none,positive,0.983,Management & Leadership; Micromanagement & Surveillance; Workload & Burnout; Career Growth & Advancement; Communication & Organization,I enjoy being able to show my skills. Leery of the micromanagement,Lead Care Manager,"San Diego, CA",,,,"What is the best part of working at the company? It’s new and room for growth. There is lots of room to move up as the company is growing. What is the most stressful part about working at the company? Micro management. They say that they don’t but they do. Many supervisors have pet peeves that are unrealistic in the environment. What is the work environment and culture like at the company? It is business like and employees are expected to dress as such. No casual days except Fridays and they still wish to control what we wear down to what shoes are allowed. However, they seem to be successful at what they do and it’s exciting to be a part of a growing organization. What is a typical day like for you at the company? Very busy from start to finish.",
2023-05-20,"May 20, 2023",Glassdoor,2.0,glassdoor_overall,negative,0.9449,Micromanagement & Surveillance; Pay & Benefits; Coworkers & Team; Meaningful / Patient Work,Listen to the reviews,Lead care manager,,"Former employee, less than 1 year",Coworkers were kind Helping the members,"Bad benefits. Ridiculous if anything. Only 5 days of PTO for 1st year compared to other places you get at least 2 weeks of PTO right off the bat. Health insurance is expensive. They don't ""micromanage"" but that's a lie. There were red flags during the interview that I ignored and decided to give it a chance. Don't be like me",,"Honestly, for all the work the employees put in each day, the least you can do is provide BETTER benefits and BETTER pay"
2023-08-20,"Aug 20, 2023",Glassdoor,2.0,glassdoor_overall,negative,0.4603,Management & Leadership; Pay & Benefits; Communication & Organization,Management is pretty bad,Mental health provider,"Tinley Park, IL",Former employee,Pay isn't terrible. Direct supervisor was pretty good,"horrible communication, terrible management, inconsistent expectations, also forced to work 6 days a week",,
2023-09-26,"Sep 26, 2023",Glassdoor,4.0,glassdoor_overall,positive,0.7699,Management & Leadership,Good company,Lead care manager,"Sacramento, CA","Current employee, more than 1 year","Caring management, good work hours",I dont really have a con for the company,,Nothing really I like the company
2023-10-01,"Oct 01, 2023",Indeed,,none,positive,0.9673,Management & Leadership; Workload & Burnout; Career Growth & Advancement; Meaningful / Patient Work,"Fast paced, growth opportunities and rewarding Management California What is the",,,,,,"best part of working at the company? Leadership recognizes those who go above and beyond What is the most stressful part about working at the company? The industry changes frequently What is the work environment and culture like at the company? Comfortable , collaborative and fun What is a typical day like for you at the company? Meetings, calls, and working on projects",
2023-10-11,"Oct 11, 2023",Indeed,,none,positive,0.2833,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Coworkers & Team,This job is not worth the pay or mental health,Case Manager,"San Diego, CA",,,,"If you love micromanagement, long unnecessary morning meetings, and manipulations, this is the place for you. Working here has affected my mental health. They are always asking for money for donations or work events. This is not a good pay job especially if they keep asking for money for donations or events. The only good thing about this place is that some coworkers are nice. THIS JOB IS NOT WORTH THE PAY OR MENTAL HEALTH.",
2023-11-09,"Nov 09, 2023",Glassdoor,5.0,glassdoor_overall,positive,0.9612,Coworkers & Team,Great,Lead care manager,"Riverside, CA","Current employee, less than 1 year","Great people, great team, great energy",Working with mental health cans be a little overwhelming,,Work for home
2023-11-25,"Nov 25, 2023",Glassdoor,1.0,glassdoor_overall,negative,-0.1541,Management & Leadership; Pay & Benefits; Culture & Toxicity; Career Growth & Advancement; Turnover & Retention; Coworkers & Team; Meaningful / Patient Work; Flexibility & Schedule; Work Conditions & Safety,People don't stay long,Lead care manager,"San Diego, CA","Former employee, less than 1 year",I learned about essential resources that help underserved populations. Mostly friendly coworkers who help you when you have questions. Potlucks once a month,"Cannot emphasize enough about the unprofessional management that does not support you. Unfair dress code that expects women to wear uncomfortable shoes and men get to wear ""nice"" tennis shoes. The manager of the site refers to the group as a ""family"". Constant badgering to participate in events/gifts that require employees to spend money with an already low wage. The manager pushes her faith during useless and long morning meetings. No option to work from home ever. Turnover rate is high. No room for growth. They have favorites. If you are on their bad side they are not afraid to show it",,
2023-11-27,"Nov 27, 2023",Indeed,,none,positive,0.9633,Management & Leadership; Pay & Benefits; Coworkers & Team; Meaningful / Patient Work,Good Work Place,LCM,"San Diego, CA",,,,"Good company to work for, with good benefits and caring team. I enjoy learning from my team members and working with members. Management is very caring and work with us closely.",
2023-12-03,"Dec 03, 2023",Glassdoor,5.0,glassdoor_overall,positive,0.9943,Management & Leadership; Pay & Benefits; Coworkers & Team; Meaningful / Patient Work,A splash of reality,Lead care manager,,Current employee,"I've been fortunate to work in various environments, yet none have compared to the positive atmosphere and exceptional leadership here. Despite the challenges we encounter, this workplace, under our manager's guidance, feels like a second family. Our manager, who genuinely values each team member, fosters a culture of recognition and support for our achievements. She openly acknowledges that perfection isn't the goal, but prioritizes our well-being above all else, a sentiment echoed in our daily meetings. It's disheartening to read negative comments about our management, as I've experienced firsthand their kindness and human approach. Our manager's initiatives, from morning meetings to team events and birthday celebrations, reflect a commitment to creating an inclusive, respectful, and nurturing workplace. Their dedication to equality and a healthy environment is commendable, coupled with their wisdom, quick thinking, and personal support for both members and employees. Admittedly, this job isn't easy; it demands teamwork, resilience, and patience. However, the joy of helping others and the strength gained through overcoming challenges make it uniquely fulfilling. Those who solely seek a paycheck or lack the willingness to embrace challenges may struggle here, as this incredible team thrives on dedication and hard work",There are no cons to be shared,,"Keep up the amazing work, I support the team and company you all have built here 🫶"
2023-12-07,"Dec 07, 2023",Glassdoor,5.0,glassdoor_overall,positive,0.9893,Management & Leadership; Meaningful / Patient Work,Let’s talk about our SD site manager,Lcm,"San Diego, CA","Current employee, less than 1 year","I am thoroughly impressed by the exceptional environment and the quality of individuals at Serene. Our site manager in San Diego adeptly oversees a team of over 50 employees, demonstrating not only flawless management skills but also a genuine concern for the well-being of her team. Her dedication to the welfare of others is truly commendable, often going the extra mile not just for her staff but for their individual members as well. I must take a moment to commend our site manager; rarely have I encountered a superior who is so attentive and willing to work together to find solutions for any challenges faced. She embodies a blend of problem-solving abilities, compassion, and an innate drive for achieving goals, making her a natural and exemplary leader. The sense of familial belonging that Serene cultivates from day one is remarkable; the warmth extended to me upon joining was truly remarkable. It's disheartening to hear negative remarks about our site manager because, in my experience, I couldn't have wished for a better job. It's not just about the opportunity to enhance people's lives daily, but the genuine and unwavering support from our site manager that surpasses any expectations one could have",I have no negative feedback,,
2023-12-09,"Dec 09, 2023",Glassdoor,4.0,glassdoor_overall,positive,0.9764,Management & Leadership; Pay & Benefits; Coworkers & Team,Content to be Employed,Lead care manager,"San Diego, CA","Current employee, more than 1 year",I have worked at a few places where the upper management never complemented on your work only pointed out what you were doing wrong . The management at Serene Health has always shown appreciation to the hard work the Lead Care Managers put in on a daily basis. The family oriented atmosphere is why I stay. I have been employed with this company for 2 1/2 years and have plans to stay awhile longer. I enjoy my co-workers and have made some true friendships. The managers care about what is going on with you personally and understands we have families too,The insurance benefits could be better. Working 8:30 am to 5:00 pm gives little time to take care of personal issues,,4-10 work days
2023-12-26,"Dec 26, 2023",Glassdoor,1.0,glassdoor_overall,negative,0.3384,Management & Leadership; Culture & Toxicity; Work Conditions & Safety,Horrible leadership,Lead care manager,"San Diego, CA",Former employee,"Standard 8:30-5:30, rarely needed to take OT","Cliquey family nepotism, toxic leadership who speaks poorly on almost every employee, and terrible perspective on office COVID protocols. They play favorites and the people all hate their jobs just as much as you do",,"Have more compassion, patience, and be a leader by example other than just telling people we have to love our jobs"
2024-01-01,"Jan 01, 2024",Glassdoor,4.0,glassdoor_overall,positive,0.7256,Management & Leadership; Pay & Benefits,Nice work place,Care coordinator,,Current employee,"High expectatives, totally doable, nice surroundings excellent team work","Not that good Pay, but worth it",,"Frat office management, upper management do not think about their workers,Just money"
2024-01-04,"Jan 04, 2024",Indeed,,none,positive,0.8932,Management & Leadership; Pay & Benefits,Great experience,Lead Care Manager,"San Diego, CA",,,,"Excellent team work, management is really Reasonable and the energy in the office is great, wage is not that good and sometimes upper management is to demanding",
2024-01-10,"Jan 10, 2024",Glassdoor,1.0,glassdoor_overall,negative,-0.128,Career Growth & Advancement; Training & Onboarding,Good stepping stone,Healthcare representative,"San Diego, CA",Former employee,Get to test your skills with self managing,No real training and pressure to opt in,,
2024-01-12,"Jan 12, 2024",Indeed,1.0,indeed_topics,negative,0.9517,Management & Leadership; Pay & Benefits; Meaningful / Patient Work,0 stars for management Enhanced Care Management- Lead,Care Coordinator,"Cerritos, CA",,Able to leave the office to visit your members,Lack of motivational energy,"Company is generous with holiday bonuses. Cerritos office is very blan, and the manager doesn’t offer emotional support and over sees the errors of his team, rather than their success.",
2024-01-30,"Jan 30, 2024",Indeed,,none,positive,0.9131,Management & Leadership; Training & Onboarding,very good,Team Member,"San Diego, CA",,,,"This workplace very good and I recoomend for all to work here. The staff is very helpful and was very welcoming, with the onboarding process, Highly reccomend",
2024-03-12,"Mar 12, 2024",Indeed,,none,neutral,0.0,,Promotor posgrados lcm cetys universidad Excelente ambiente laboral,,,,,,,
2024-03-28,"Mar 28, 2024",Indeed,,none,positive,0.7612,Management & Leadership; Micromanagement & Surveillance; Culture & Toxicity; Training & Onboarding; Turnover & Retention; Coworkers & Team; Meaningful / Patient Work,Do not work here,Lead Care Manager,"San Diego, CA",,,,"Terrible management, turnover, and lack of training. Nepotism and unqualified personnel. They don’t care about the patients, just the money and your numbers. Cameras to watch you work. Only upside were some of the coworkers who cared, stick together and last until you find another job!",
2024-04-04,"Apr 04, 2024",Indeed,1.0,indeed_topics,negative,-0.9583,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Career Growth & Advancement; Work Conditions & Safety,"Breach of Authority from Leadership, Toxic Work Environment",Lead Care Manager,,,"Consistent hours, overtime available, easy tasks","Unprofessional passive aggressive behavior, false deadlines for growth/ advancement towards compensation, pressuring uncomfortable disciplinary action, Unfair wages, high volume technical difficulties unresolved, Lack of upkeep to working conditions","3635 Ruffin Road DO NOT WORK HERE- absolutely toxic work culture, extremely poor power of Authority & lack of health leadership skills from CEO & management. Felt as if I was walking on eggshells every hour on the clock. Every job task is micromanaged, negative punishment & passive-aggressive behavior used against employees, favoritism targetted towards select few. Lack of encouragement, affirmation, and compensation growth to exemplary work demonstrated consistently even with High performing employees surpassing metrics & KPI's.",
2024-04-22,"Apr 22, 2024",Indeed,1.6,indeed_topics,negative,0.9552,Management & Leadership; Micromanagement & Surveillance; Workload & Burnout; Culture & Toxicity; Turnover & Retention; Meaningful / Patient Work,Only if you need experience and/or a job for now,Lead Care Manager,"San Diego, CA",,Experience,"Micromanaging, belittling, and favoritism",My typical day started with anxiety. This company definitely cares more about numbers over quality of care. I was anxious to meet my call quota. I had to have faith and courage to focus on giving quality help with my members and risk not meeting the quota They are big on micromanaging which includes watching you with the cameras. I was constantly berated for not meeting quota even though I repeated requested non active members be removed from my caseload. Also they keep non active members on caseloads to boost their numbers. There are good team leads but they can only do so much because the supervisors are task masters that smile in your face but help with nothing. This place is polluted with favoritism. Get your experience and move on when you get it. Extremely high turnover rate.,
2024-04-23,"Apr 23, 2024",Indeed,5.0,indeed_topics,positive,0.9955,Management & Leadership; Career Growth & Advancement; Training & Onboarding; Communication & Organization; Coworkers & Team; Flexibility & Schedule,"Workplace Culture, Leadership, Flexible, Hands on Training, Diversity",Lead Care Manager,"San Diego, CA",,,,"Overall, a great place to work prioritizes the well-being and growth of its employees, cultivates a positive and inclusive culture, and provides opportunities for meaningful work and advancement. A workplace with a positive culture fosters collaboration, open communication, and mutual respect among colleagues. Employees feel valued, supported, and motivated to perform their best. Effective leadership sets the tone for the entire organization. Leaders who are transparent, empathetic, and inspirational can empower employees, provide clear direction, and promote a sense of trust and confidence in the company's vision and values.",
2024-05-19,"May 19, 2024",Indeed,,none,positive,0.9741,Training & Onboarding; Meaningful / Patient Work,Good place to work,LCM,"San Diego, CA",,,,Great place to work! Everyone is friendly and willing to help. Onboarding process is very quick. You get to help others and is very rewarding. Great place to get experience,
2024-06-04,"Jun 04, 2024",Glassdoor,3.0,glassdoor_overall,neutral,0.9908,Management & Leadership; Pay & Benefits; Culture & Toxicity; Coworkers & Team; Meaningful / Patient Work; Flexibility & Schedule,Good for experience,Lead care manager,"San Diego, CA","Former employee, less than 1 year",The people you work with can become like a second family and are a big support. You get to help people and it is very rewarding when you make a difference in someone's life. It's a great position to get experience in the care management field and then explore other options,"The pay and benefits are some of the biggest downsides. Not to mention that upper management refuses to consider flexible work schedules or hybrid work for dedicated and ""loyal "" workers. Favoritism is also huge here and the main supervisor can often take things too personal. Upper management also loves to add things on to the job description all the time. They praise going ""above and beyond"" even if that is at the cost of your well-being",,
2024-06-06,"Jun 06, 2024",Glassdoor,4.0,glassdoor_overall,positive,0.6705,Career Growth & Advancement; Training & Onboarding,Good till you’re licensed Associate mental health therapist 2nd year,,"San Diego, CA",Current employee,Lots of clinical hours and experience,Barely any training or advancement opportunities,,
2024-06-12,"Jun 12, 2024",Indeed,1.0,indeed_topics,negative,0.7615,Management & Leadership; Micromanagement & Surveillance,Terrible place to work at,Lead Care Manager,"San Diego, CA",,,,"The job itself is not bad. It is an easy job to do. However, the management makes this job unnecessarily difficult. They manipulate people and lie to the employees. They micromanage people. All they care about is their pockets. They do not care about the employee's mental health whatsoever.",
2024-06-20,"Jun 20, 2024",Glassdoor,1.0,glassdoor_overall,negative,0.1027,Management & Leadership; Culture & Toxicity; Career Growth & Advancement; Turnover & Retention; Coworkers & Team; Meaningful / Patient Work,I feel compelled to be honest,Human rescources,,Current employee,The patients and members lives we get to change,"High turnover in all departments, corrupt leadership, unprofessional friendships that allow harassment, bullying and retaliation to flourish like wildfire. If you have other opportunities; take them. This is the highest turnover rate I have experienced in 10+ years of work experience",,
2024-06-27,"Jun 27, 2024",Glassdoor,1.0,glassdoor_overall,negative,-0.8632,Management & Leadership; Culture & Toxicity,"SAVE YOURSELF, DO NOT WORK HERE",Lead care manager,"San Diego, CA","Current employee, less than 1 year","Do not work here. HR department is trash. You cannot complain here without being thrown out the door or abused. The whole management here is absolute garbage, this is not a company BUT A JOKE. PLEASE SAVE YOURSELF. I am only giving 1 star, but want to put 0 STARS","Everything. Management. Managers/CEO do not care. HR department is full of favoritism, lack of leadership, ineffective management, toxic energy will leaving you feeling uncomfortable all the time. It's a toxic and hostile environment. Various people have complained about the department and nothing changed. CEO nor management care about having a positive work environment. Very SAD. DO NOT WORK HERE",,IMPROVE PLEASE. FIRE MANAGEMENT
2024-07-15,"Jul 15, 2024",Glassdoor,1.0,glassdoor_overall,negative,0.9128,Management & Leadership; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Communication & Organization; Turnover & Retention,Toxic workplace environment,Lead care manager,,"Former employee, less than 1 year",None None None None None,Unprofessional management Lots of favoritism They allow anyone to be a manager and don’t take accountability whatsoever HR is a joke and the entire company needs to improve The pay and benefits are not worth the heavy workload I would not recommend this place to anyone who values their sanity and peace of,,Hire people who are equipped to be in a leadership role so you can build a solid foundation. There’s a reason no one stays at this job longer than a year and people are continuously quitting m
2024-07-19,"Jul 19, 2024",Glassdoor,1.0,glassdoor_overall,negative,-0.457,,yikes,Care coordinator,"San Diego, CA",Former employee,"none, nada. zero. sucks, worst",everything you can possibly imagine,,
2024-07-23,"Jul 23, 2024",Glassdoor,1.0,glassdoor_overall,negative,-0.5574,Management & Leadership; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Meaningful / Patient Work; Flexibility & Schedule,Terrible Management,Mental health therapist,"San Diego, CA","Former employee, less than 1 year","Decent benefits, remote work and being of service to the clients",You will be overworked and burned out. The workplace became unbearable when the director of mental health left. The current managers are passive aggressive and unprofessional. The main focus for the company is on making money and not on the client or employee wellbeing,,
2024-09-17,"Sep 17, 2024",Indeed,1.0,indeed_topics,negative,0.9052,Management & Leadership; Workload & Burnout; Career Growth & Advancement; Training & Onboarding,"The work environment was mentally exhausting, with unrealistic expectations and a lack of support from management",Lead Care Manager,"San Diego, CA",,None,Your mental health,"My experience at SERENE HEALTH was unfortunately disappointing. The work environment was mentally exhausting, with unrealistic expectations and a lack of support from management. There was little regard for employee well-being, leading to high levels of stress and burnout. The company culture did not foster growth or positivity, and many employees, including myself, felt undervalued and overworked. I hope the company takes serious steps to improve how they treat their staff, as a healthy and supportive work environment is crucial for long-term success. San Diego office is a joke.",
2024-09-26,"Sep 26, 2024",Indeed,,none,negative,-0.7531,Management & Leadership; Workload & Burnout; Culture & Toxicity,Hostile work environment,Licensed Mental Health Professional,"Chicago, IL",,,,What is the best part of working at the company? Variety of behavioral health clientele What is the most stressful part about working at the company? Poor Management & Expansive caseloads What is the work environment and culture like at the company? Stressful work environment. Minimal diversity.,
2024-09-27,"Sep 27, 2024",Glassdoor,1.0,glassdoor_overall,negative,0.9681,Management & Leadership; Pay & Benefits; Culture & Toxicity; Communication & Organization; Turnover & Retention; Coworkers & Team,DO NOT WORK HERE,Lead care manager,"San Diego, CA","Former employee, less than 1 year",The pay is decent and you have a supportive team but that's the only support you'll receive,"Their turnover rate and employee retention are very poor, which should've been the first red flag. Female Supervisor A.I. is nice and sweet at first then after the first month, she is extremely condescending and passive-aggressive, not supportive at all. They give you more and more work, last minute work to complete with extremely unreasonable due date or notice. The supervisor does not support you and denies you when you try to advocate for yourself. Was given a task at 2:30pm and expected to complete by 5pm. I was a new hire and could not believe this is how they treat new hires after 2 months. They are constantly conducting interviews and people are quitting left and right, myself included. I wish I had never been associated with this company to begin with and I admire the LCMs who still work there",,
2024-11-11,"Nov 11, 2024",Indeed,1.0,indeed_topics,negative,0.0799,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Career Growth & Advancement; Turnover & Retention,Micromanaging at its finest,ECM,"San Diego, CA",,Health benefits,Management,There are cameras in the offices monitoring you all day on top of micromanagement from supervisors. No room for growth and high turnover. The job is simple but makes it more difficult with someone watching over you at all times.,
2024-11-21,"Nov 21, 2024",Glassdoor,2.0,glassdoor_overall,negative,0.8885,Management & Leadership; Micromanagement & Surveillance; Culture & Toxicity; Career Growth & Advancement; Meaningful / Patient Work; Flexibility & Schedule,Don’t work here,Clinical care coordinator,"San Diego, CA","Current employee, less than 1 year",Quarterly Potlucks surrounding the holidays,"Micromanagement, petty leadership, false promises, overly strict working schedule (no flexibility). Negative Reinforcement, retaliative behavior, don’t encourage learning & collaboration. Don’t care about the patients",,Leadership should have an education requirement surrounding healthcare administration & how to promote a healthy work place
